station,area_m2,radius,lat,long
Paddington,7993062,1595.077006,51.5193957,-0.18174333
Euston,6773777,1468.386933,51.52696892,-0.129224129
Soho,6779990,1469.060191,51.51177099,-0.128650707
Dowgate,3974765,1124.814205,51.50926662,-0.088790963
Islington,6023839,1384.719288,51.53952658,-0.10092026
Holloway,6944110,1486.734295,51.56082678,-0.114633559
Hornsey,13545277,2076.438196,51.58578194,-0.125885079
Tottenham,13430515,2067.623201,51.59173134,-0.070171825
Edmonton,20095180,2529.12919,51.62652745,-0.067640619
Enfield,34681841,3322.585268,51.65950928,-0.050578531
Southgate,29525167,3065.640642,51.62979391,-0.126007642
Barnet,28759008,3025.603504,51.64661248,-0.184534969
Mill Hill,23642263,2743.276516,51.61427626,-0.241898532
Finchley,17359390,2350.673405,51.59724884,-0.177927693
Hendon,12867082,2023.78838,51.58817508,-0.227228995
West Hampstead,14271784,2131.396242,51.55096547,-0.191403844
Kentish Town,8933211,1686.276779,51.55201892,-0.140298779
Lewisham,8087486,1604.470862,51.45635921,-0.011874541
Greenwich,4463562,1191.971439,51.47329906,-0.012232403
East Greenwich,11449303,1909.038065,51.4862568,0.023578262
Plumstead,21662535,2625.909185,51.48669478,0.092883042
Erith,18818909,2447.497657,51.4848235,0.157903393
Bexley,23651032,2743.785215,51.46037987,0.15497919
Lee Green,10088322,1791.985666,51.45571001,0.014036258
Eltham,22016614,2647.282738,51.44991288,0.060917554
Forest Hill,11163945,1885.097892,51.44182209,-0.043675087
Dockhead,3728177,1089.364767,51.49999251,-0.069425155
Old Kent Road,4945266,1254.642203,51.48630688,-0.072250397
Deptford,5045535,1267.297783,51.48416248,-0.032486561
Peckham,6131270,1397.012475,51.47317639,-0.076576855
New Cross,5979461,1379.609202,51.47290927,-0.047903564
Bromley,30625580,3122.246769,51.40628793,0.018521081
Sidcup,23503133,2735.192788,51.42630644,0.095876248
Orpington,46513956,3847.83732,51.37149781,0.112122465
Biggin Hill,37642475,3461.49851,51.31289656,0.035513042
Beckenham,19651808,2501.072723,51.40729861,-0.032969932
Stratford,10628945,1839.374424,51.54299395,0.012566838
Poplar,9102689,1702.197374,51.51016817,-0.013178595
Millwall,3424237,1044.01556,51.50002341,-0.024311012
Shoreditch,5300598,1298.935236,51.52579872,-0.084033215
Shadwell,2727478,931.7634956,51.51018672,-0.054510478
Bethnal Green,6113632,1395.001615,51.52706917,-0.051974255
Homerton,8406365,1635.796163,51.54781065,-0.042491839
Leyton,6370033,1423.953819,51.56239954,-0.015346242
Leytonstone,11458348,1909.791991,51.55996213,0.010026551
Stoke Newington,8353268,1630.621902,51.56169381,-0.075541505
Whitechapel,2314254,858.2831277,51.51446633,-0.068049262
Chingford,11067421,1876.930877,51.62890499,-0.003370255
Woodford,13557463,2077.372019,51.60864525,0.025435234
Walthamstow,13211620,2050.704576,51.58899595,-0.02735334
Hainault,18384059,2419.055131,51.60553212,0.105738997
Romford,22084963,2651.388704,51.59293237,0.182545051
Hornchurch,43148309,3706.013131,51.56383892,0.221870295
Wennington,25646875,2857.210854,51.50540184,0.221835741
Dagenham,26294225,2893.045414,51.55865059,0.158251909
Ilford,22038472,2648.596518,51.56149628,0.091511837
Barking,16279016,2276.350529,51.52952968,0.090305652
East Ham,13028437,2036.43814,51.52260357,0.058360099
Plaistow,8937184,1686.651719,51.52027586,0.033533357
Harold Hill,21113838,2592.439656,51.5976397,0.224949622
Harrow,22786760,2693.186028,51.59006507,-0.364821688
Stanmore,28180476,2995.016546,51.60293746,-0.296214504
Hillingdon,27110904,2937.629787,51.53137751,-0.450735812
Southall,21532890,2618.03968,51.51055995,-0.37303121
Ealing,15230953,2201.854427,51.5113415,-0.312518342
Acton,10432033,1822.256633,51.50624438,-0.275543392
North Kensington,8665078,1660.776924,51.52112009,-0.210835837
Willesden,10492047,1827.490708,51.5436296,-0.235234527
Park Royal,8045233,1600.274102,51.53509367,-0.263422536
Wembley,19022270,2460.686205,51.55099961,-0.302612976
Northolt,21498890,2615.971947,51.55392968,-0.358112163
Ruislip,45068597,3787.58234,51.58768872,-0.435222604
Kensington,5512232,1324.612374,51.50216558,-0.18871158
Chelsea,6035734,1386.085785,51.48643323,-0.16876639
Fulham,6527155,1441.408327,51.47718863,-0.199537206
Hammersmith,10033813,1787.1379,51.49552858,-0.222772918
Chiswick,8554283,1650.125101,51.48983124,-0.267505545
Heston,20556845,2558.016222,51.47427845,-0.341822225
Feltham,24947539,2817.986568,51.4598878,-0.412448576
Hayes,21588468,2621.416181,51.49372423,-0.43030331
Heathrow,15733051,2237.852916,51.47944569,-0.457522374
Clapham,6852784,1476.925487,51.46418395,-0.139567734
Lambeth,7878804,1583.635439,51.4920181,-0.119923212
Brixton,6782396,1469.320829,51.46301509,-0.108115448
West Norwood,14365160,2138.357417,51.4251862,-0.103924562
Addington,23021024,2706.994557,51.35108058,-0.022683268
Battersea,5975490,1379.151022,51.46636556,-0.167885516
Woodside,16017031,2257.959104,51.38504334,-0.060628235
Purley,30612442,3121.576994,51.3310505,-0.123644924
Croydon,16172562,2268.895407,51.36810326,-0.103640328
Norbury,14281471,2132.119464,51.40604772,-0.120015414
Wandsworth,16991871,2325.657009,51.45577618,-0.200077696
Wimbledon,15432886,2216.402533,51.414799,-0.196179825
Tooting,12334748,1981.482332,51.43706304,-0.16131744
Mitcham,14077216,2116.817664,51.39664533,-0.171420455
Wallington,19842482,2513.176911,51.36162737,-0.146844232
Sutton,20019023,2524.332176,51.36828919,-0.209746011
Surbiton,20773406,2571.454938,51.39150971,-0.296664384
New Malden,18152957,2403.802337,51.39834884,-0.243980855
Kingston,14280161,2132.021675,51.42866546,-0.305194454
Richmond,15555469,2225.187535,51.46672988,-0.283455013
Twickenham,27974534,2984.052736,51.43444023,-0.346214694
