property-type,num-pumps-attending
Private Garden Shed ,2
Purpose built office ,4
Restaurant/cafe,2
Multi-Storey car park,2
Central Government Office,2
Hospital ,6
"Takeaway, fast food ",4
Pub/wine bar/bar ,2
Private Garden Shed ,3
Medical/health centre,2
Single shop ,2
Private Garden Shed ,3
Sports pavilion/shower block/changing facility ,5
Restaurant/cafe,2
Single shop ,3
Private garage ,2
Other car park structure,1
Gym ,3
Pub/wine bar/bar ,2
College/University ,1
Single shop ,3
Single shop ,2
Train station - elsewhere ,3
Purpose built office ,2
Private garage ,1
Police station ,3
Single shop ,4
Private Garden Shed ,2
Other agricultural building ,1
Single shop ,1
Gym ,2
Single shop ,3
Hospital ,2
Converted office ,2
Hospital ,1
Single shop ,3
Church/Chapel ,2
Restaurant/cafe,4
Private Garden Shed ,2
Bulk waste storage,3
Other education establishment,2
Hairdresser ,3
Purpose built office ,3
Restaurant/cafe,2
Airport - terminal ,1
Private Garden Shed ,3
Single shop ,3
Single shop ,2
Infant/Primary school,2
Purpose built office ,3
Club/night club ,1
Purpose built office ,3
Other education establishment,1
Private garage ,5
"Takeaway, fast food ",2
"Takeaway, fast food ",2
Pre School/nursery ,2
Single shop ,2
Train station - elsewhere ,3
Pre School/nursery ,2
Restaurant/cafe,3
Secondary school,1
Other building/use not known ,2
Football stadium ,1
Single shop ,2
Other car park structure,2
Pub/wine bar/bar ,1
Pub/wine bar/bar ,2
Hospital ,1
Private Garden Shed ,3
Large supermarket ,1
Restaurant/cafe,4
Large supermarket ,2
Single shop ,1
Purpose built office ,3
Converted office ,3
Single shop ,2
Private garage ,2
Restaurant/cafe,3
Single shop ,2
Single shop ,1
Post office (purpose built) ,2
Purpose built office ,3
College/University ,3
Large supermarket ,4
Vehicle Repair Workshop,3
Hospital ,4
Single shop ,3
Single shop ,2
Private garage ,1
Private garage ,2
Shopping Centre ,3
Purpose built office ,2
Other private non-residential building ,2
Factory ,2
Purpose built office ,2
Private Garden Shed ,3
Purpose built office ,1
Day care/Drop in centre,2
"Takeaway, fast food ",2
Purpose built office ,3
Club/night club ,2
Hospital ,2
Hospital ,2
Purpose built office ,2
Other public utility works,3
Purpose built office ,2
Bus/coach station/garage ,1
Purpose built office ,6
Warehouse ,2
Purpose built office ,2
Private garage ,2
Single shop ,4
Restaurant/cafe,2
Factory ,1
Single shop ,3
Hospital ,3
Hospital ,3
Other car park structure,2
Hospital ,2
Cinema ,2
Purpose built office ,1
Sports/Social club ,2
Department Store ,2
Purpose built office ,2
Infant/Primary school,2
Other Religious Use Building,1
Purpose built office ,3
Private garage ,2
Restaurant/cafe,2
Other car park structure,2
Infant/Primary school,2
Prison ,3
Fire station ,3
Vehicle Repair Workshop,3
Restaurant/cafe,2
Recycling plant,2
Purpose built office ,2
Purpose built office ,1
Infant/Primary school,2
Casino ,1
Warehouse ,2
Single shop ,2
Hospital ,3
Private Garden Shed ,1
Private Garden Shed ,2
Single shop ,4
Dental surgery,2
Private Garden Shed ,2
Hospital ,2
Other office/call centre type building,3
Shopping Centre ,3
Recycling plant,3
Private Garden Shed ,2
Private garage ,2
Restaurant/cafe,2
Electricity power station ,2
Other education establishment,3
Exhibition Centre ,10
Gym ,2
Library ,1
Pub/wine bar/bar ,2
Single shop ,2
Other building/use not known ,2
Hospital ,4
Other transport building ,2
Purpose built office ,2
Other public utility works,1
Private garage ,4
Restaurant/cafe,3
Purpose built office ,1
Pub/wine bar/bar ,2
Single shop ,2
Synagogue ,2
Other industrial manufacturing facility,2
Other private non-residential building ,3
"Takeaway, fast food ",8
Single shop ,2
Airport - terminal ,4
College/University ,3
Private Garden Shed ,2
Purpose built office ,1
Restaurant/cafe,2
Private Garden Shed ,2
Pub/wine bar/bar ,1
Tennis Courts ,2
Theatre ,2
Single shop ,2
Single shop ,3
Secondary school,2
Train station - elsewhere ,3
Pub/wine bar/bar ,1
"Takeaway, fast food ",2
Other retail warehouse ,2
Private garage ,2
Private garage ,2
Restaurant/cafe,2
Purpose built office ,3
Private Garden Shed ,4
Private garage ,2
Infant/Primary school,2
Bank/Building Society ,2
Single shop ,3
Private garage ,3
Private garage ,2
Restaurant/cafe,4
Bank/Building Society ,2
Single shop ,2
Single shop ,1
Young offenders unit ,3
Purpose built office ,2
Prison ,3
Single shop ,1
Pre School/nursery ,2
Single shop ,2
Pub/wine bar/bar ,2
Private garage ,2
Purpose built office ,2
Private Garden Shed ,2
College/University ,3
Prison ,3
